Petition Department,Petition Description,Status,
Education Department,"School infrastructure crumbling with broken ceilings and unsafe staircases, posing a serious safety threat to students.",Urgent,2320
Women & Child Welfare,"Women’s self-defense tools, such as pepper sprays, are often unavailable in public stores, limiting their ability to protect themselves.",Urgent,2217
Education Department,"A delayed completion of the academic syllabus forces students to hastily prepare for exams, compromising thorough understanding and long-term retention of knowledge.",Urgent,2149
Women & Child Welfare,"Many women in rural areas lack access to legal aid and support services, preventing them from reporting crimes and seeking justice.",Urgent,709
Education Department,"Poor or no internet access in classrooms, affecting students’ ability to complete assignments and research using digital learning resources.",Urgent,35
Women & Child Welfare,"Social media platforms fail to moderate abusive and harassing content adequately, allowing offenders to repeatedly target and harm women.",Urgent,420
Women & Child Welfare,Improve access to safe drinking water in schools,Urgent,1869
Women & Child Welfare,Lack of awareness programs on women's health and hygiene.,Important,2561
Education Department,Need for more vocational training programs ,Urgent,1192
Education Department,"Mandatory school policies force students to purchase expensive textbooks and uniforms exclusively from designated vendors, placing an unnecessary financial burden on families.",Urgent,730
Education Department,No proper recycling or waste disposal management in schools.,Urgent,120
Women & Child Welfare,"Women suffering from acid attacks often do not receive proper medical support, legal assistance, or long-term rehabilitation facilities.",Urgent,647
